elite_rate,elimination_rate,average_rank,best_count,benchmark_count,average_mean_error
0.25,0.15,6.75,1,12,873.3728900977868
0.25,0.05,7.75,1,12,937.4596627410601
0.2,0.15,8.583333333333334,0,12,875.6878136367483
0.25,0.1,10.0,3,12,907.1074768688823
0.2,0.2,10.333333333333334,0,12,820.848468907886
0.25,0.2,10.666666666666666,1,12,804.9992470982187
0.25,0.25,10.833333333333334,0,12,839.0206793007129
0.2,0.25,11.166666666666666,3,12,885.402552522395
0.2,0.1,11.166666666666666,0,12,895.6664920385152
0.2,0.05,11.833333333333334,0,12,927.8480681808463
0.15,0.15,12.083333333333334,1,12,886.4627035058928
0.15,0.2,13.083333333333334,0,12,859.111872394857
0.05,0.25,13.25,1,12,945.070776404691
0.15,0.05,13.416666666666666,0,12,929.7839431687743
0.15,0.25,13.583333333333334,0,12,905.5861795485486
0.15,0.1,14.583333333333334,0,12,937.7747063714183
0.1,0.25,15.166666666666666,1,12,824.8159589411827
0.1,0.15,15.25,0,12,944.8711422217986
0.05,0.2,15.333333333333334,0,12,925.4408855187197
0.1,0.2,15.833333333333334,0,12,923.5864876166556
0.05,0.15,16.0,0,12,939.1235886026138
0.1,0.05,16.25,0,12,900.3809977995302
0.1,0.1,16.666666666666668,0,12,937.8914617768875
0.05,0.05,17.5,0,12,972.1583426821126
0.05,0.1,17.916666666666668,0,12,971.5976017859738
